example_id,source,split,model_name,task,train_loss,validation_loss,train_metric,validation_metric,learning_rate,epochs,additional_information,diagnosis
challenge_overfitting_01,manual_challenge_v1,challenge,resnet_tiny,image_classification,"[0.91, 0.62, 0.43, 0.31, 0.22, 0.16, 0.12]","[0.96, 0.68, 0.52, 0.48, 0.55, 0.66, 0.79]","[0.58, 0.72, 0.82, 0.89, 0.94, 0.97, 0.98]","[0.56, 0.70, 0.79, 0.82, 0.80, 0.76, 0.71]",0.001,"[1, 2, 3, 4, 5, 6, 7]",No duplicate samples were found and preprocessing used training data only.,overfitting
challenge_overfitting_02,manual_challenge_v1,challenge,text_encoder,intent_classification,"[0.74, 0.48, 0.33, 0.24, 0.18, 0.13, 0.09, 0.07]","[0.79, 0.55, 0.41, 0.36, 0.35, 0.39, 0.46, 0.58]","[0.69, 0.81, 0.88, 0.92, 0.95, 0.97, 0.98, 0.99]","[0.66, 0.78, 0.84, 0.87, 0.88, 0.86, 0.82, 0.76]",0.0003,"[1, 2, 3, 4, 5, 6, 7, 8]",The best validation score occurred in the middle of training despite continued training improvement.,overfitting
challenge_overfitting_03,manual_challenge_v1,challenge,forecast_mlp,time_series_regression,"[1.18, 0.91, 0.70, 0.54, 0.42, 0.33, 0.26, 0.20, 0.15]","[1.22, 0.96, 0.76, 0.63, 0.57, 0.59, 0.67, 0.80, 0.96]","[0.31, 0.44, 0.56, 0.66, 0.74, 0.81, 0.87, 0.91, 0.94]","[0.29, 0.41, 0.52, 0.60, 0.64, 0.63, 0.59, 0.52, 0.45]",0.0008,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",A second seed showed the same growing gap after epoch 5.,overfitting
challenge_underfitting_01,manual_challenge_v1,challenge,linear_probe,image_classification,"[1.88, 1.63, 1.51, 1.47, 1.46, 1.46, 1.45]","[1.91, 1.67, 1.56, 1.52, 1.51, 1.51, 1.50]","[0.28, 0.36, 0.41, 0.43, 0.44, 0.44, 0.45]","[0.27, 0.34, 0.39, 0.41, 0.42, 0.42, 0.43]",0.001,"[1, 2, 3, 4, 5, 6, 7]",Optimization is stable but both splits reached a poor plateau.,underfitting
challenge_underfitting_02,manual_challenge_v1,challenge,small_cnn,ten_class_classification,"[2.31, 2.04, 1.91, 1.86, 1.84, 1.83, 1.83, 1.82]","[2.34, 2.08, 1.96, 1.91, 1.89, 1.88, 1.88, 1.88]","[0.12, 0.20, 0.25, 0.28, 0.29, 0.30, 0.30, 0.30]","[0.11, 0.19, 0.23, 0.26, 0.27, 0.28, 0.28, 0.28]",0.0007,"[1, 2, 3, 4, 5, 6, 7, 8]",Increasing the epoch budget alone produced almost no improvement after epoch 4.,underfitting
challenge_underfitting_03,manual_challenge_v1,challenge,shallow_transformer,sequence_classification,"[1.42, 1.25, 1.17, 1.13, 1.12, 1.11, 1.11]","[1.46, 1.29, 1.21, 1.18, 1.17, 1.16, 1.16]","[0.40, 0.47, 0.51, 0.53, 0.54, 0.54, 0.54]","[0.38, 0.45, 0.49, 0.51, 0.52, 0.52, 0.52]",0.0015,"[1, 2, 3, 4, 5, 6, 7]",Train and validation results remain similarly weak with no growing gap.,underfitting
challenge_lr_high_01,manual_challenge_v1,challenge,wide_mlp,binary_classification,"[0.88, 2.41, 0.73, 3.12, 1.06, 2.76, 1.44]","[0.91, 2.55, 0.78, 3.28, 1.13, 2.91, 1.51]","[0.61, 0.48, 0.66, 0.41, 0.59, 0.45, 0.54]","[0.59, 0.46, 0.63, 0.40, 0.56, 0.43, 0.51]",0.08,"[1, 2, 3, 4, 5, 6, 7]",Gradient norms repeatedly spiked directly after optimizer steps.,learning_rate_too_high
challenge_lr_high_02,manual_challenge_v1,challenge,tabular_net,multiclass_classification,"[1.62, 0.94, 2.87, 1.21, 3.46, 1.08, 2.59, 1.37]","[1.68, 0.99, 2.95, 1.28, 3.58, 1.15, 2.71, 1.44]","[0.33, 0.57, 0.29, 0.49, 0.24, 0.53, 0.31, 0.47]","[0.31, 0.54, 0.27, 0.46, 0.22, 0.50, 0.29, 0.44]",0.05,"[1, 2, 3, 4, 5, 6, 7, 8]",There is no downward loss trend and neither split converges.,learning_rate_too_high
challenge_lr_high_03,manual_challenge_v1,challenge,audio_classifier,audio_classification,"[1.04, 4.82, 1.33, 3.91, 0.98, 5.26]","[1.11, 4.96, 1.42, 4.08, 1.06, 5.43]","[0.52, 0.21, 0.47, 0.25, 0.55, 0.18]","[0.49, 0.20, 0.44, 0.23, 0.52, 0.17]",0.12,"[1, 2, 3, 4, 5, 6]",Lowering the batch size did not remove the repeated oscillations.,learning_rate_too_high
challenge_lr_low_01,manual_challenge_v1,challenge,deep_encoder,text_classification,"[1.204, 1.199, 1.195, 1.190, 1.186, 1.181, 1.177, 1.172, 1.168, 1.163, 1.159, 1.154]","[1.226, 1.222, 1.218, 1.214, 1.210, 1.206, 1.202, 1.198, 1.194, 1.190, 1.186, 1.182]","[0.441, 0.444, 0.447, 0.450, 0.453, 0.456, 0.459, 0.462, 0.465, 0.468, 0.471, 0.474]","[0.432, 0.435, 0.438, 0.441, 0.444, 0.447, 0.450, 0.453, 0.456, 0.459, 0.462, 0.465]",0.0000008,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",Every epoch is stable but the available budget produces only tiny improvements.,learning_rate_too_low
challenge_lr_low_02,manual_challenge_v1,challenge,vision_transformer,image_classification,"[2.012, 2.004, 1.996, 1.988, 1.980, 1.972, 1.964, 1.956, 1.948, 1.940]","[2.041, 2.034, 2.027, 2.020, 2.013, 2.006, 1.999, 1.992, 1.985, 1.978]","[0.182, 0.185, 0.188, 0.191, 0.194, 0.197, 0.200, 0.203, 0.206, 0.209]","[0.176, 0.179, 0.182, 0.185, 0.188, 0.191, 0.194, 0.197, 0.200, 0.203]",0.0000002,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",Loss is smooth and still far from useful despite ten full epochs.,learning_rate_too_low
challenge_lr_low_03,manual_challenge_v1,challenge,recommender_net,ranking,"[0.842, 0.838, 0.834, 0.830, 0.826, 0.822, 0.818, 0.814, 0.810, 0.806, 0.802, 0.798, 0.794, 0.790]","[0.859, 0.855, 0.851, 0.847, 0.843, 0.839, 0.835, 0.831, 0.827, 0.823, 0.819, 0.815, 0.811, 0.807]","[0.301, 0.304, 0.307, 0.310, 0.313, 0.316, 0.319, 0.322, 0.325, 0.328, 0.331, 0.334, 0.337, 0.340]","[0.294, 0.297, 0.300, 0.303, 0.306, 0.309, 0.312, 0.315, 0.318, 0.321, 0.324, 0.327, 0.330, 0.333]",0.000001,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",The curves move in the correct direction but at an impractically slow rate.,learning_rate_too_low
challenge_healthy_01,manual_challenge_v1,challenge,conv_classifier,image_classification,"[1.16, 0.78, 0.51, 0.34, 0.25, 0.20]","[1.20, 0.82, 0.56, 0.39, 0.30, 0.25]","[0.48, 0.68, 0.81, 0.89, 0.93, 0.95]","[0.46, 0.65, 0.78, 0.86, 0.90, 0.92]",0.001,"[1, 2, 3, 4, 5, 6]",An independent seed produced similar final results and the split audit found no overlap.,healthy
challenge_healthy_02,manual_challenge_v1,challenge,sequence_model,intent_classification,"[0.93, 0.66, 0.49, 0.37, 0.29, 0.24, 0.21]","[0.97, 0.70, 0.53, 0.42, 0.34, 0.29, 0.27]","[0.60, 0.73, 0.82, 0.88, 0.92, 0.94, 0.95]","[0.58, 0.70, 0.79, 0.85, 0.89, 0.91, 0.92]",0.0005,"[1, 2, 3, 4, 5, 6, 7]",A small validation wobble at epoch 6 disappeared again while the overall trend stayed strong.,healthy
challenge_healthy_03,manual_challenge_v1,challenge,compact_transformer,topic_classification,"[1.35, 0.89, 0.58, 0.40, 0.31, 0.26]","[1.39, 0.94, 0.63, 0.46, 0.37, 0.32]","[0.39, 0.63, 0.79, 0.87, 0.91, 0.94]","[0.37, 0.60, 0.75, 0.83, 0.88, 0.91]",0.0008,"[1, 2, 3, 4, 5, 6]",Both splits improved together and ended with a small stable gap.,healthy
challenge_leakage_01,manual_challenge_v1,challenge,customer_model,churn_prediction,"[0.62, 0.29, 0.13, 0.06]","[0.58, 0.21, 0.07, 0.02]","[0.74, 0.91, 0.97, 0.99]","[0.78, 0.94, 0.99, 1.00]",0.001,"[1, 2, 3, 4]",Audit found 1842 customer IDs present in both training and validation splits.,data_leakage_suspected
challenge_leakage_02,manual_challenge_v1,challenge,medical_tabular_net,risk_classification,"[0.71, 0.44, 0.28, 0.19]","[0.69, 0.40, 0.22, 0.12]","[0.68, 0.82, 0.90, 0.94]","[0.70, 0.84, 0.93, 0.97]",0.0006,"[1, 2, 3, 4]",The scaler and feature selector were fitted on the complete dataset before the train-validation split.,data_leakage_suspected
challenge_leakage_03,manual_challenge_v1,challenge,document_classifier,document_classification,"[0.48, 0.20, 0.08, 0.03]","[0.45, 0.16, 0.04, 0.01]","[0.81, 0.94, 0.98, 1.00]","[0.83, 0.96, 0.99, 1.00]",0.0004,"[1, 2, 3, 4]",Near-duplicate documents appeared across both splits; accuracy fell from 1.00 to 0.71 on a newly deduplicated holdout set.,data_leakage_suspected
challenge_insufficient_01,manual_challenge_v1,challenge,new_architecture,binary_classification,"[0.84]","[0.87]","[0.63]","[0.61]",0.001,"[1]",Only the first epoch has completed.,insufficient_evidence
challenge_insufficient_02,manual_challenge_v1,challenge,legacy_classifier,multiclass_classification,"[1.22, 0.88, 0.65, 0.51]",not_recorded,"[0.42, 0.61, 0.73, 0.81]",not_recorded,0.0005,"[1, 2, 3, 4]",The validation job failed before producing any metrics.,insufficient_evidence
challenge_insufficient_03,manual_challenge_v1,challenge,experimental_encoder,text_classification,"[1.10, 0.72]","[1.14, 0.76]","[0.50, 0.69]","[0.48, 0.66]",unknown,"[1, 2]",Only two epochs and no optimizer configuration were logged; several causes are still possible.,insufficient_evidence
