example_id,source,split,model_name,task,train_loss,validation_loss,train_metric,validation_metric,learning_rate,epochs,additional_information,diagnosis,evidence,next_experiment
synthetic_v3_learning_rate_too_high_001,controlled_synthetic_v3,train,controlled_mlp,multiclass_classification,"[1.376, 3.169, 0.925, 2.853, 1.136, 2.088, 0.962, 2.7, 1.102, 2.153, 1.409, 2.131]","[1.535, 3.335, 1.078, 3.034, 1.284, 2.267, 1.045, 2.785, 1.259, 2.302, 1.567, 2.303]","[0.512, 0.315, 0.525, 0.313, 0.493, 0.372, 0.522, 0.345, 0.553, 0.254, 0.461, 0.211]","[0.489, 0.29, 0.509, 0.285, 0.474, 0.34, 0.49, 0.309, 0.514, 0.24, 0.44, 0.184]",0.1298,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",Gradient norms repeatedly spiked after optimizer updates.,learning_rate_too_high,"Loss oscillated throughout 12 epochs, including increases from 1.376 to 3.169 and from 0.925 to 2.853; the run did not converge.",Repeat the configuration with a learning rate ten times smaller.
synthetic_v3_insufficient_evidence_028,controlled_synthetic_v3,train,controlled_encoder,text_classification,"[1.276, 1.042, 0.861, 0.734, 0.638]","[1.34, 1.086, 0.91, 0.764, 0.705]","[0.675, 0.635, 0.595, 0.555, 0.515]","[0.655, 0.625, 0.576, 0.539, 0.5]",0.001,"[1, 2, 3, 4, 5]",No learning-rate scheduler was enabled.,insufficient_evidence,"The losses improve but both recorded metrics become worse, so the logs are contradictory and may use an unknown metric direction or contain a logging error.","Verify the metric definition and logging code, then repeat the run before diagnosing it."
synthetic_v3_overfitting_042,controlled_synthetic_v3,train,controlled_mlp,binary_classification,"[1.632, 1.329, 1.045, 0.782, 0.545, 0.338, 0.17, 0.068]","[1.703, 0.915, 0.434, 0.584, 0.73, 0.871, 1.004, 1.122]","[0.542, 0.624, 0.702, 0.773, 0.837, 0.893, 0.939, 0.967]","[0.532, 0.729, 0.849, 0.79, 0.732, 0.676, 0.623, 0.576]",0.00142,"[1, 2, 3, 4, 5, 6, 7, 8]",Batch size and optimizer settings stayed fixed during the run.,overfitting,"The generalization gap grew after epoch 3: the final training metric was 0.967, while the validation metric fell to 0.576.",Restore the checkpoint from epoch 3 and test early stopping.
synthetic_v3_learning_rate_too_high_007,controlled_synthetic_v3,train,controlled_mlp,multiclass_classification,"[0.76, 2.406, 0.957, 2.912, 0.885, 2.816, 1.197, 2.508, 1.049]","[0.879, 2.534, 1.048, 3.11, 1.022, 3.008, 1.278, 2.634, 1.183]","[0.49, 0.259, 0.537, 0.303, 0.489, 0.265, 0.485, 0.32, 0.52]","[0.475, 0.228, 0.499, 0.266, 0.456, 0.234, 0.456, 0.282, 0.499]",0.1052,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",Neither split settled into a downward trend during the run.,learning_rate_too_high,"Loss oscillated throughout 9 epochs, including increases from 0.760 to 2.406 and from 0.957 to 2.912; the run did not converge.",Repeat the configuration with a learning rate ten times smaller.
synthetic_v3_data_leakage_suspected_025,controlled_synthetic_v3,train,controlled_mlp,multiclass_classification,"[0.42, 0.316, 0.222, 0.139, 0.072, 0.031]","[0.38, 0.288, 0.206, 0.133, 0.075, 0.039]","[0.84, 0.878, 0.912, 0.942, 0.966, 0.981]","[0.88, 0.911, 0.94, 0.965, 0.985, 0.997]",0.001,"[1, 2, 3, 4, 5, 6]",The scaler and feature selector were fitted on the complete dataset before the train-validation split. Metric on a clean holdout was 0.64.,data_leakage_suspected,"Preprocessing was fitted before the split, so validation information entered the training pipeline. Validation metric was 0.997, compared with 0.640 on a clean holdout.","Rebuild the splits around independent groups, then rerun preprocessing and training."
synthetic_v3_learning_rate_too_high_034,controlled_synthetic_v3,train,controlled_encoder,text_classification,"[0.877, 2.377, 1.316, 2.817, 1.198, 2.056, 1.097, 2.397]","[0.966, 2.499, 1.434, 2.973, 1.394, 2.235, 1.257, 2.565]","[0.5, 0.202, 0.481, 0.325, 0.503, 0.342, 0.558, 0.209]","[0.477, 0.179, 0.466, 0.303, 0.467, 0.321, 0.537, 0.174]",0.2472,"[1, 2, 3, 4, 5, 6, 7, 8]",Data augmentation settings stayed unchanged during training.,learning_rate_too_high,"Loss oscillated throughout 8 epochs, including increases from 0.877 to 2.377 and from 1.316 to 2.817; the run did not converge.",Repeat the configuration with a learning rate ten times smaller.
synthetic_v3_learning_rate_too_high_015,controlled_synthetic_v3,train,controlled_tabular_net,binary_classification,"[1.4, 2.349, 1.145, 2.75, 1.345, 2.916, 1.128, 2.476, 1.268, 3.086, 1.233]","[1.489, 2.518, 1.267, 2.842, 1.453, 3.005, 1.281, 2.63, 1.419, 3.282, 1.352]","[0.545, 0.341, 0.518, 0.241, 0.533, 0.268, 0.478, 0.305, 0.507, 0.339, 0.494]","[0.528, 0.329, 0.5, 0.22, 0.499, 0.253, 0.456, 0.284, 0.494, 0.301, 0.471]",0.2403,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",Large loss jumps continued even though the batch size stayed fixed.,learning_rate_too_high,"Training loss repeatedly jumped from 1.400 at epoch 1 to 2.349 at epoch 2 and from 1.145 at epoch 3 to 2.750 at epoch 4, with no stable downward trend.",Lower the learning rate by about 10x and run the same experiment again.
synthetic_v3_learning_rate_too_high_036,controlled_synthetic_v3,train,controlled_mlp,binary_classification,"[1.376, 2.298, 1.199, 2.481, 1.01, 2.472, 0.881, 1.967, 1.058, 2.295, 1.336]","[1.524, 2.396, 1.363, 2.573, 1.17, 2.649, 1.011, 2.138, 1.165, 2.382, 1.462]","[0.528, 0.374, 0.553, 0.369, 0.536, 0.242, 0.495, 0.271, 0.578, 0.206, 0.536]","[0.502, 0.347, 0.514, 0.355, 0.498, 0.219, 0.457, 0.256, 0.562, 0.19, 0.525]",0.0696,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",The experiment used a fixed random seed.,learning_rate_too_high,"Training loss repeatedly jumped from 1.376 at epoch 1 to 2.298 at epoch 2 and from 1.199 at epoch 3 to 2.481 at epoch 4, with no stable downward trend.",Lower the learning rate by about 10x and run the same experiment again.
synthetic_v3_underfitting_000,controlled_synthetic_v3,train,controlled_mlp,binary_classification,"[1.863, 1.75, 1.651, 1.567, 1.496, 1.439, 1.393, 1.358, 1.334, 1.319, 1.311, 1.309]","[1.933, 1.82, 1.722, 1.637, 1.567, 1.509, 1.463, 1.429, 1.404, 1.389, 1.382, 1.38]","[0.343, 0.37, 0.393, 0.414, 0.431, 0.445, 0.456, 0.464, 0.47, 0.473, 0.475, 0.476]","[0.331, 0.357, 0.379, 0.398, 0.415, 0.428, 0.438, 0.446, 0.452, 0.455, 0.457, 0.457]",0.001764,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",The run completed without hardware or logging errors.,underfitting,Training remained poor after 12 epochs: training loss was 1.309 and training metric was 0.476. Validation values were similarly poor at 1.380 loss and 0.457 metric.,"Train for more epochs and, if training remains poor, test a larger model."
synthetic_v3_healthy_011,controlled_synthetic_v3,train,controlled_sequence_net,sequence_classification,"[1.295, 1.134, 0.98, 0.833, 0.695, 0.566, 0.446, 0.338, 0.244, 0.167, 0.121]","[1.39, 1.226, 1.069, 0.92, 0.779, 0.647, 0.526, 0.416, 0.32, 0.242, 0.194]","[0.544, 0.6, 0.654, 0.705, 0.753, 0.798, 0.84, 0.878, 0.91, 0.937, 0.953]","[0.529, 0.585, 0.639, 0.69, 0.738, 0.783, 0.825, 0.863, 0.896, 0.922, 0.939]",0.001988,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",The gap between the two splits stayed small throughout the run.,healthy,"Training and validation followed the same improving trend: losses ended at 0.121 and 0.194, while their metrics reached 0.953 and 0.939.",Repeat the experiment once more to confirm that the stable result is reproducible.
synthetic_v3_overfitting_017,controlled_synthetic_v3,train,controlled_sequence_net,sequence_classification,"[1.522, 1.307, 1.103, 0.91, 0.729, 0.563, 0.412, 0.281, 0.174, 0.109]","[1.614, 1.24, 0.913, 0.647, 0.485, 0.628, 0.768, 0.903, 1.032, 1.144]","[0.494, 0.567, 0.637, 0.703, 0.764, 0.821, 0.873, 0.918, 0.954, 0.976]","[0.484, 0.613, 0.725, 0.816, 0.872, 0.818, 0.765, 0.713, 0.665, 0.622]",0.00177,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",No early stopping was used after the validation score peaked.,overfitting,"After epoch 5, training continued improving to 0.109 loss, but validation loss moved in the opposite direction and finished at 1.144.",Stop training near epoch 5 and evaluate that checkpoint on a separate holdout.
synthetic_v3_learning_rate_too_low_030,controlled_synthetic_v3,train,controlled_mlp,binary_classification,"[1.523, 1.518, 1.512, 1.507, 1.502, 1.496, 1.491, 1.485, 1.48, 1.475, 1.469, 1.464, 1.459, 1.453]","[1.583, 1.578, 1.574, 1.569, 1.565, 1.56, 1.555, 1.551, 1.546, 1.542, 1.537, 1.532, 1.528, 1.523]","[0.389, 0.393, 0.397, 0.401, 0.405, 0.409, 0.413, 0.417, 0.421, 0.425, 0.429, 0.433, 0.437, 0.441]","[0.379, 0.382, 0.384, 0.387, 0.39, 0.392, 0.395, 0.398, 0.401, 0.403, 0.406, 0.409, 0.411, 0.414]",2.2e-06,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",The optimizer state was reset before training started.,learning_rate_too_low,"Training loss decreased consistently by only 0.070, from 1.523 to 1.453, across 14 epochs, while the training metric improved by only 0.052.",Increase the learning rate by about 10x and run the same experiment again.
synthetic_v3_learning_rate_too_low_009,controlled_synthetic_v3,train,controlled_tabular_net,binary_classification,"[1.732, 1.725, 1.718, 1.712, 1.705, 1.698, 1.692, 1.685, 1.678, 1.672, 1.665, 1.659, 1.652]","[1.792, 1.786, 1.78, 1.774, 1.768, 1.763, 1.757, 1.751, 1.745, 1.739, 1.734, 1.728, 1.722]","[0.335, 0.342, 0.348, 0.355, 0.361, 0.368, 0.374, 0.38, 0.387, 0.393, 0.4, 0.406, 0.413]","[0.325, 0.331, 0.336, 0.342, 0.347, 0.352, 0.358, 0.363, 0.369, 0.374, 0.38, 0.385, 0.391]",5.3e-06,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","There were no spikes, but each epoch changed the metrics only slightly.",learning_rate_too_low,"Training loss decreased consistently by only 0.080, from 1.732 to 1.652, across 13 epochs, while the training metric improved by only 0.078.",Increase the learning rate by about 10x and run the same experiment again.
synthetic_v3_underfitting_014,controlled_synthetic_v3,train,controlled_cnn,image_classification,"[2.222, 1.992, 1.798, 1.639, 1.514, 1.419, 1.352, 1.311, 1.29, 1.285]","[2.261, 2.039, 1.851, 1.698, 1.577, 1.485, 1.421, 1.381, 1.361, 1.356]","[0.318, 0.357, 0.39, 0.417, 0.439, 0.455, 0.466, 0.473, 0.477, 0.477]","[0.312, 0.348, 0.377, 0.402, 0.421, 0.436, 0.446, 0.453, 0.456, 0.457]",0.001333,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",Data augmentation settings stayed unchanged during training.,underfitting,"The model still performed poorly on its training data after 10 epochs, with a 0.477 training metric. Validation was similarly weak at 0.457.",Continue training and compare the result with a larger architecture using the same split.
synthetic_v3_underfitting_024,controlled_synthetic_v3,train,controlled_mlp,binary_classification,"[1.988, 1.798, 1.648, 1.534, 1.454, 1.404, 1.38, 1.374]","[2.071, 1.883, 1.733, 1.62, 1.541, 1.491, 1.467, 1.461]","[0.337, 0.397, 0.444, 0.479, 0.504, 0.52, 0.528, 0.529]","[0.322, 0.377, 0.42, 0.452, 0.475, 0.49, 0.497, 0.498]",0.001816,"[1, 2, 3, 4, 5, 6, 7, 8]",Metrics were recorded once at the end of every epoch.,underfitting,Training remained poor after 8 epochs: training loss was 1.374 and training metric was 0.529. Validation values were similarly poor at 1.461 loss and 0.498 metric.,"Train for more epochs and, if training remains poor, test a larger model."
synthetic_v3_data_leakage_suspected_022,controlled_synthetic_v3,train,controlled_encoder,text_classification,"[0.42, 0.319, 0.229, 0.149, 0.085, 0.045]","[0.38, 0.287, 0.203, 0.13, 0.07, 0.034]","[0.84, 0.881, 0.918, 0.95, 0.976, 0.992]","[0.88, 0.911, 0.938, 0.963, 0.982, 0.994]",0.001,"[1, 2, 3, 4, 5, 6]",Augmentation was applied before splitting and created 203 near-identical image pairs across training and validation.,data_leakage_suspected,The audit found 203 near-duplicate augmented images shared between the training and validation splits.,"Rebuild the splits around independent groups, then rerun preprocessing and training."
synthetic_v3_learning_rate_too_high_008,controlled_synthetic_v3,train,controlled_cnn,image_classification,"[1.085, 2.582, 1.442, 2.46, 1.241, 3.269, 1.28, 3.103, 1.328]","[1.256, 2.744, 1.593, 2.634, 1.384, 3.412, 1.403, 3.293, 1.421]","[0.574, 0.363, 0.48, 0.297, 0.475, 0.354, 0.516, 0.322, 0.558]","[0.549, 0.326, 0.457, 0.285, 0.461, 0.332, 0.489, 0.295, 0.528]",0.127,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",No learning-rate scheduler was enabled.,learning_rate_too_high,"The large recurring loss spikes were paired with metric drops, such as 0.574 to 0.363 between epochs 1 and 2.",Reduce the learning rate first and check whether the loss begins to converge smoothly.
synthetic_v3_learning_rate_too_high_002,controlled_synthetic_v3,train,controlled_cnn,image_classification,"[0.836, 2.574, 0.849, 1.976, 1.412, 3.196, 1.043, 3.344, 1.382, 3.12, 1.404]","[1.003, 2.677, 0.948, 2.176, 1.548, 3.381, 1.183, 3.435, 1.509, 3.255, 1.513]","[0.538, 0.209, 0.492, 0.308, 0.576, 0.321, 0.493, 0.201, 0.466, 0.224, 0.49]","[0.517, 0.187, 0.481, 0.296, 0.549, 0.3, 0.474, 0.179, 0.442, 0.198, 0.455]",0.2058,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",Batch size and optimizer settings stayed fixed during the run.,learning_rate_too_high,"The large recurring loss spikes were paired with metric drops, such as 0.538 to 0.209 between epochs 1 and 2.",Reduce the learning rate first and check whether the loss begins to converge smoothly.
synthetic_v3_data_leakage_suspected_023,controlled_synthetic_v3,train,controlled_sequence_net,sequence_classification,"[0.42, 0.317, 0.225, 0.143, 0.078, 0.037]","[0.38, 0.281, 0.192, 0.114, 0.051, 0.012]","[0.84, 0.878, 0.913, 0.944, 0.968, 0.983]","[0.88, 0.91, 0.937, 0.96, 0.979, 0.991]",0.001,"[1, 2, 3, 4, 5, 6]",Source documents were divided by individual rows; paragraphs from the same documents occurred in both splits. Performance dropped to 0.66 when split by document.,data_leakage_suspected,"Paragraphs from the same source documents crossed the split boundary. The validation metric was 0.991, but a document-level holdout reached only 0.660.","Remove the overlap, retrain from scratch, and verify the result on a clean holdout."
synthetic_v3_underfitting_048,controlled_synthetic_v3,train,controlled_mlp,binary_classification,"[1.868, 1.748, 1.645, 1.559, 1.488, 1.432, 1.39, 1.36, 1.341, 1.332, 1.33]","[1.894, 1.777, 1.678, 1.594, 1.525, 1.471, 1.43, 1.401, 1.383, 1.374, 1.372]","[0.343, 0.389, 0.429, 0.462, 0.489, 0.51, 0.527, 0.538, 0.545, 0.549, 0.55]","[0.327, 0.368, 0.403, 0.433, 0.457, 0.476, 0.491, 0.501, 0.507, 0.51, 0.511]",0.002966,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",No learning-rate scheduler was enabled.,underfitting,Training remained poor after 11 epochs: training loss was 1.330 and training metric was 0.550. Validation values were similarly poor at 1.372 loss and 0.511 metric.,"Train for more epochs and, if training remains poor, test a larger model."
